t_rel_s,ts_ns,value
1.826,1779427877657893823,nan
1.857,1779427877689232409,nan
1.908,1779427877740534839,nan
1.932,1779427877764526508,nan
2.008,1779427877839866980,nan
2.073,1779427877905324466,nan
2.142,1779427877974132919,nan
2.198,1779427878030530942,nan
2.271,1779427878103014312,nan
2.336,1779427878168342093,nan
2.400,1779427878231843789,nan
2.472,1779427878304596945,nan
2.538,1779427878370241469,nan
2.606,1779427878437937529,nan
2.670,1779427878502394122,nan
2.741,1779427878573116156,nan
2.802,1779427878634042786,nan
2.866,1779427878697822726,nan
2.941,1779427878773617605,nan
3.010,1779427878841998776,nan
3.064,1779427878896653005,nan
3.140,1779427878972258596,nan
3.202,1779427879034000582,nan
3.273,1779427879105237272,nan
3.337,1779427879169652157,nan
3.425,1779427879257327518,nan
3.479,1779427879310945437,nan
3.541,1779427879373234037,nan
3.597,1779427879428848369,nan
3.670,1779427879502759124,nan
3.733,1779427879564956808,nan
3.802,1779427879634309790,nan
3.873,1779427879705213237,nan
3.939,1779427879771691325,nan
4.005,1779427879837284808,nan
4.075,1779427879907712850,nan
4.140,1779427879972112651,nan
4.198,1779427880030503463,nan
4.270,1779427880101989647,nan
4.340,1779427880172001197,nan
4.406,1779427880238480577,nan
4.476,1779427880308253175,nan
4.533,1779427880364982857,nan
4.598,1779427880430714587,nan
4.667,1779427880499346002,nan
4.740,1779427880572481232,nan
4.809,1779427880640781321,nan
4.873,1779427880705559323,nan
4.939,1779427880771468674,nan
5.004,1779427880836426921,nan
5.068,1779427880899791246,nan
5.133,1779427880965003530,nan
5.201,1779427881032936418,nan
5.274,1779427881106552596,nan
5.334,1779427881166019759,nan
5.407,1779427881239630103,nan
5.473,1779427881305551121,nan
5.539,1779427881371490013,nan
5.604,1779427881435961896,nan
5.675,1779427881507160212,nan
5.740,1779427881572119334,nan
5.802,1779427881633995609,nan
5.873,1779427881705537792,nan
5.938,1779427881769901344,nan
6.003,1779427881834912382,nan
6.092,1779427881923799300,nan
6.137,1779427881969103156,nan
6.207,1779427882038864375,nan
6.274,1779427882105897007,nan
6.332,1779427882164143872,nan
6.406,1779427882238166917,nan
6.475,1779427882306999526,nan
6.539,1779427882371699145,nan
6.603,1779427882435417609,nan
6.666,1779427882497910505,nan
6.741,1779427882573293159,nan
6.807,1779427882639257137,nan
6.874,1779427882705809982,nan
6.938,1779427882770630641,nan
7.006,1779427882838001894,nan
7.067,1779427882899263680,nan
7.134,1779427882966711640,nan
7.201,1779427883033499691,nan
7.272,1779427883104093945,nan
7.338,1779427883170654957,nan
7.403,1779427883235252786,nan
7.470,1779427883301820506,nan
7.541,1779427883373695828,nan
