t_rel_s,ts_ns,values
1.826,1779427877658293689,"[0, 0]"
1.857,1779427877689303283,"[0, 0]"
1.908,1779427877740671919,"[0, 0]"
1.932,1779427877764635589,"[0, 0]"
2.008,1779427877840000852,"[0, 0]"
2.073,1779427877905486629,"[0, 0]"
2.142,1779427877974295665,"[0, 0]"
2.198,1779427878030627773,"[0, 0]"
2.271,1779427878103186100,"[0, 0]"
2.336,1779427878168439507,"[0, 0]"
2.400,1779427878232018786,"[0, 0]"
2.472,1779427878304724692,"[0, 0]"
2.538,1779427878370351133,"[0, 0]"
2.606,1779427878438100859,"[0, 0]"
2.670,1779427878502452745,"[0, 0]"
2.742,1779427878573875931,"[0, 0]"
2.802,1779427878634103743,"[0, 0]"
2.866,1779427878698288508,"[0, 0]"
2.941,1779427878773736894,"[0, 0]"
3.010,1779427878842143147,"[0, 0]"
3.064,1779427878896660005,"[0, 0]"
3.140,1779427878972420467,"[0, 0]"
3.202,1779427879034044332,"[0, 0]"
3.273,1779427879105355686,"[0, 0]"
3.337,1779427879169697656,"[0, 0]"
3.425,1779427879257745759,"[0, 0]"
3.479,1779427879311057435,"[0, 0]"
3.541,1779427879373610570,"[0, 0]"
3.597,1779427879428947825,"[0, 0]"
3.671,1779427879503072075,"[0, 0]"
3.733,1779427879565075222,"[0, 0]"
3.802,1779427879634465536,"[0, 0]"
3.873,1779427879705263403,"[0, 0]"
3.940,1779427879771904529,"[0, 0]"
4.005,1779427879837440555,"[0, 0]"
4.076,1779427879907886971,"[0, 0]"
4.140,1779427879972161942,"[0, 0]"
4.198,1779427880030601461,"[0, 0]"
4.270,1779427880102261183,"[0, 0]"
4.340,1779427880172228984,"[0, 0]"
4.406,1779427880238601325,"[0, 0]"
4.476,1779427880308391713,"[0, 0]"
4.533,1779427880365124896,"[0, 0]"
4.599,1779427880430812877,"[0, 0]"
4.667,1779427880499396168,"[0, 0]"
4.740,1779427880572522940,"[0, 0]"
4.809,1779427880640934443,"[0, 0]"
4.873,1779427880705672487,"[0, 0]"
4.940,1779427880771798250,"[0, 0]"
5.004,1779427880836559918,"[0, 0]"
5.068,1779427880899866203,"[0, 0]"
5.133,1779427880965190775,"[0, 0]"
5.201,1779427881033085748,"[0, 0]"
5.274,1779427881106595179,"[0, 0]"
5.334,1779427881166200005,"[0, 0]"
5.407,1779427881239716726,"[0, 0]"
5.474,1779427881305787074,"[0, 0]"
5.539,1779427881371616302,"[0, 0]"
5.604,1779427881436129309,"[0, 0]"
5.675,1779427881507281834,"[0, 0]"
5.740,1779427881572274789,"[0, 0]"
5.802,1779427881634135606,"[0, 0]"
5.873,1779427881705625582,"[0, 0]"
5.938,1779427881769938677,"[0, 0]"
6.003,1779427881835033421,"[0, 0]"
6.092,1779427881924140542,"[0, 0]"
6.137,1779427881969236445,"[0, 0]"
6.207,1779427882038996499,"[0, 0]"
6.274,1779427882105943965,"[0, 0]"
6.332,1779427882164400244,"[0, 0]"
6.406,1779427882238241583,"[0, 0]"
6.475,1779427882307111233,"[0, 0]"
6.540,1779427882371812019,"[0, 0]"
6.603,1779427882435503066,"[0, 0]"
6.666,1779427882498145002,"[0, 0]"
6.741,1779427882573401366,"[0, 0]"
6.807,1779427882639545008,"[0, 0]"
6.874,1779427882705855482,"[0, 0]"
6.938,1779427882770747015,"[0, 0]"
7.006,1779427882838150642,"[0, 0]"
7.067,1779427882899378012,"[0, 0]"
7.134,1779427882966750139,"[0, 0]"
7.201,1779427883033669730,"[0, 0]"
7.272,1779427883104140611,"[0, 0]"
7.338,1779427883170680915,"[0, 0]"
7.403,1779427883235407659,"[0, 0]"
7.470,1779427883301938338,"[0, 0]"
7.542,1779427883373830285,"[0, 0]"
7.607,1779427883439203937,"[0, 0]"
7.673,1779427883505540077,"[0, 0]"
7.738,1779427883570099989,"[0, 0]"
7.809,1779427883641023698,"[0, 0]"
7.874,1779427883706314517,"[0, 0]"
7.943,1779427883775572538,"[0, 0]"
8.008,1779427883839973202,"[0, 0]"
8.072,1779427883903897872,"[0, 0]"
8.141,1779427883972920521,"[0, 0]"
8.208,1779427884040594811,"[0, 0]"
8.273,1779427884105432678,"[0, 0]"
8.342,1779427884173815418,"[0, 0]"
8.408,1779427884240325389,"[0, 0]"
8.471,1779427884303720107,"[0, 0]"
8.543,1779427884375503055,"[0, 0]"
8.607,1779427884439660472,"[0, 0]"
8.669,1779427884501515209,"[0, 0]"
8.741,1779427884572964203,"[0, 0]"
8.807,1779427884638940764,"[0, 0]"
8.875,1779427884707673792,"[0, 0]"
8.941,1779427884773452855,"[0, 0]"
9.006,1779427884838344222,"[0, 0]"
9.071,1779427884903272504,"[0, 0]"
9.142,1779427884973959382,"[0, 0]"
9.207,1779427885038938706,"[0, 0]"
9.277,1779427885109599334,"[0, 0]"
9.341,1779427885172859304,"[0, 0]"
9.406,1779427885238752116,"[0, 0]"
9.468,1779427885300617936,"[0, 0]"
9.541,1779427885373077251,"[0, 0]"
9.605,1779427885437020296,"[0, 0]"
9.677,1779427885509401445,"[0, 0]"
9.742,1779427885574620807,"[0, 0]"
9.811,1779427885643155212,"[0, 0]"
9.874,1779427885705772648,"[0, 0]"
9.937,1779427885769145491,"[0, 0]"
10.024,1779427885856338166,"[0, 0]"
10.073,1779427885905564767,"[0, 0]"
10.136,1779427885967959664,"[0, 0]"
10.199,1779427886031613379,"[0, 0]"
10.276,1779427886108258058,"[0, 0]"
10.348,1779427886180067256,"[0, 0]"
10.425,1779427886257441968,"[0, 0]"
10.470,1779427886302214583,"[0, 0]"
10.530,1779427886361970221,"[0, 0]"
10.603,1779427886435137110,"[0, 0]"
10.676,1779427886508672078,"[0, 0]"
10.731,1779427886563153573,"[0, 0]"
10.796,1779427886628458101,"[0, 0]"
10.864,1779427886695934352,"[0, 0]"
10.959,1779427886790892555,"[0, 0]"
10.999,1779427886831215850,"[0, 0]"
11.074,1779427886906413006,"[0, 0]"
11.135,1779427886967245172,"[0, 0]"
11.200,1779427887032442076,"[0, 0]"
11.272,1779427887104434730,"[0, 0]"
11.339,1779427887171264072,"[0, 0]"
11.410,1779427887241837494,"[0, 0]"
11.477,1779427887309173746,"[0, 0]"
11.531,1779427887362789293,"[0, 0]"
11.606,1779427887438411402,"[0, 0]"
11.677,1779427887508784743,"[0, 0]"
11.730,1779427887562483414,"[0, 0]"
11.800,1779427887632226470,"[0, 0]"
11.863,1779427887695552647,"[0, 0]"
11.932,1779427887764683711,"[0, 0]"
12.330,1779427888162257016,"[0, 0]"
12.332,1779427888163840747,"[0, 0]"
12.332,1779427888163944287,"[0, 0]"
12.333,1779427888165672682,"[0, 0]"
12.334,1779427888165807431,"[0, 0]"
12.348,1779427888179965631,"[0, 0]"
12.403,1779427888235619320,"[0, 0]"
12.472,1779427888304465512,"[0, 0]"
12.560,1779427888392659758,"[0, 0]"
12.598,1779427888430440333,"[0, 0]"
12.663,1779427888495611863,"[0, 0]"
12.730,1779427888562157417,"[0, 0]"
12.803,1779427888635213724,"[0, 0]"
12.868,1779427888700741666,"[0, 0]"
12.930,1779427888761871620,"[0, 0]"
13.010,1779427888841894342,"[0, 0]"
13.069,1779427888900941822,"[0, 0]"
13.136,1779427888968600362,"[0, 0]"
13.227,1779427889058926373,"[0, 0]"
13.269,1779427889101257768,"[0, 0]"
13.336,1779427889168704561,"[0, 0]"
13.397,1779427889228953401,"[0, 0]"
13.464,1779427889296046699,"[0, 0]"
13.530,1779427889362380505,"[0, 0]"
13.601,1779427889433056592,"[0, 0]"
13.672,1779427889504049716,"[0, 0]"
13.730,1779427889562154250,"[0, 0]"
13.826,1779427889657992984,"[0, 0]"
