t_rel_s,ts_ns,value
0.038,1779427875870490021,1
0.042,1779427875874329143,1
0.047,1779427875879347738,1
0.052,1779427875884378292,1
0.057,1779427875889282265,1
0.062,1779427875894402358,1
0.067,1779427875899347164,1
0.072,1779427875904405716,1
0.077,1779427875909436853,1
0.082,1779427875914392742,1
0.087,1779427875919432337,1
0.092,1779427875924294894,1
0.097,1779427875929252533,1
0.102,1779427875934268795,1
0.107,1779427875939256766,1
0.112,1779427875944124573,1
0.117,1779427875949390205,1
0.122,1779427875954362426,1
0.127,1779427875959638266,1
0.132,1779427875964396701,1
0.137,1779427875969289299,1
0.142,1779427875974412600,1
0.151,1779427875983526687,1
0.155,1779427875987201896,1
0.157,1779427875989666424,1
0.162,1779427875994510607,1
0.167,1779427875999384830,1
0.172,1779427876004268971,1
0.177,1779427876009120445,1
0.182,1779427876014329203,1
0.187,1779427876019355381,1
0.192,1779427876024096900,1
0.197,1779427876029261325,1
0.202,1779427876034338836,1
0.207,1779427876039544969,1
0.212,1779427876044356486,1
0.217,1779427876049471329,1
0.222,1779427876054637796,1
0.227,1779427876059505020,1
0.232,1779427876064441367,1
0.237,1779427876069657125,1
0.242,1779427876074541265,1
0.247,1779427876079750023,1
0.252,1779427876084080009,1
0.257,1779427876089317349,1
0.262,1779427876094365694,1
0.267,1779427876099353665,1
0.272,1779427876104267847,1
0.277,1779427876109089280,1
0.282,1779427876114095626,1
0.287,1779427876119288634,1
0.292,1779427876124257355,1
0.297,1779427876129226369,1
0.302,1779427876134254589,1
0.307,1779427876139323933,1
0.312,1779427876144313363,1
0.317,1779427876149479246,1
0.322,1779427876154291638,1
0.327,1779427876159385190,1
0.332,1779427876164287413,1
0.337,1779427876169000932,1
0.342,1779427876174104984,1
0.347,1779427876179261243,1
0.352,1779427876184092885,1
0.357,1779427876189165146,1
0.362,1779427876194131534,1
0.367,1779427876199053298,1
0.372,1779427876204286847,1
0.377,1779427876209251486,1
0.382,1779427876214391703,1
0.387,1779427876219601336,1
0.392,1779427876224280439,1
0.397,1779427876229336659,1
0.402,1779427876234134759,1
0.407,1779427876239151896,1
0.412,1779427876244108077,1
0.417,1779427876249169254,1
0.422,1779427876254051936,1
0.427,1779427876259113406,1
0.432,1779427876264203458,1
0.437,1779427876269252678,1
0.442,1779427876274265148,1
0.447,1779427876279349367,1
0.452,1779427876284287756,1
0.457,1779427876289182105,1
0.462,1779427876293891832,1
0.467,1779427876299160380,1
0.472,1779427876304076020,1
0.477,1779427876308885786,1
0.482,1779427876314011713,1
0.487,1779427876318972268,1
0.492,1779427876323857575,1
0.497,1779427876329139539,1
0.502,1779427876334072678,1
0.507,1779427876339126856,1
0.513,1779427876345315300,1
0.517,1779427876348989635,1
0.522,1779427876353997730,1
0.527,1779427876358952160,1
0.532,1779427876364009255,1
0.537,1779427876368992851,1
0.542,1779427876374052571,1
0.547,1779427876379241496,1
0.552,1779427876384128261,1
0.556,1779427876388757782,1
0.562,1779427876393878167,1
0.567,1779427876398917470,1
0.572,1779427876404176977,1
0.577,1779427876409215988,1
0.582,1779427876414238084,1
0.587,1779427876418999727,1
0.592,1779427876424080154,1
0.597,1779427876429116249,1
0.602,1779427876434017597,1
0.607,1779427876439118733,1
0.612,1779427876444313782,1
0.617,1779427876449074842,1
0.622,1779427876454244517,1
0.627,1779427876459299570,1
0.632,1779427876464195669,1
0.637,1779427876469123558,1
0.642,1779427876474316566,1
0.647,1779427876479534657,1
0.652,1779427876484226301,1
0.657,1779427876489092650,1
0.662,1779427876494036872,1
0.667,1779427876499137716,1
0.672,1779427876504049564,1
0.677,1779427876508931954,1
0.681,1779427876513739388,1
0.687,1779427876518974395,1
0.692,1779427876524020990,1
0.697,1779427876528843006,1
0.702,1779427876533942975,1
0.707,1779427876539027194,1
0.712,1779427876543967916,1
0.717,1779427876548777100,1
0.722,1779427876553918776,1
0.727,1779427876559119659,1
0.732,1779427876563863219,1
0.737,1779427876568876273,1
0.742,1779427876573934242,1
0.747,1779427876578840840,1
0.752,1779427876584016057,1
0.757,1779427876588939280,1
0.762,1779427876593911501,1
0.767,1779427876598934763,1
0.772,1779427876603961525,1
0.776,1779427876608748834,1
0.781,1779427876613625683,1
0.786,1779427876618645153,1
0.792,1779427876623764080,1
0.797,1779427876628845382,1
0.802,1779427876633956142,1
0.807,1779427876638766492,1
0.812,1779427876643878711,1
0.817,1779427876648794642,1
0.822,1779427876653791946,1
0.827,1779427876658870915,1
0.831,1779427876663751264,1
0.836,1779427876668642112,1
0.841,1779427876673489503,1
0.846,1779427876678368394,1
0.851,1779427876683649483,1
0.856,1779427876688546456,1
0.861,1779427876693619301,1
0.866,1779427876698710061,1
0.871,1779427876703710865,1
0.876,1779427876708655087,1
0.882,1779427876713890011,1
0.886,1779427876718455950,1
0.891,1779427876723583627,1
0.896,1779427876728479725,1
0.901,1779427876733521070,1
0.906,1779427876738606747,1
0.911,1779427876743721007,1
0.916,1779427876748617397,1
0.921,1779427876753504162,1
0.926,1779427876758556882,1
0.931,1779427876763623893,1
0.936,1779427876768512116,1
0.942,1779427876773777164,1
0.946,1779427876778739761,1
0.951,1779427876783695358,1
0.957,1779427876788795327,1
0.962,1779427876793875462,1
0.966,1779427876798693979,1
0.971,1779427876803682825,1
0.976,1779427876808464009,1
0.981,1779427876813464814,1
0.986,1779427876818478742,1
0.991,1779427876823746416,1
0.996,1779427876828496975,1
1.001,1779427876833638360,1
1.006,1779427876838612623,1
1.011,1779427876843651051,1
1.016,1779427876848316738,1
1.021,1779427876853761741,1
1.026,1779427876858341679,1
1.031,1779427876863657185,1
1.036,1779427876868600824,1
1.041,1779427876873637502,1
1.046,1779427876878533309,1
1.051,1779427876883680234,1
1.056,1779427876888482710,1
1.061,1779427876893571012,1
1.066,1779427876898623440,1
1.071,1779427876903664202,1
1.076,1779427876908358179,1
1.081,1779427876913379983,1
1.086,1779427876918388371,1
1.091,1779427876923418632,1
1.096,1779427876928356730,1
1.101,1779427876933547988,1
1.106,1779427876938252757,1
1.111,1779427876943668010,1
1.116,1779427876948567317,1
1.121,1779427876953402458,1
1.126,1779427876958346097,1
1.131,1779427876963566229,1
1.136,1779427876968340122,1
1.141,1779427876973557921,1
1.146,1779427876978626391,1
1.152,1779427876983814149,1
1.156,1779427876988527376,1
1.161,1779427876993521764,1
1.166,1779427876998599858,1
1.172,1779427877004092901,1
1.178,1779427877010161182,1
1.181,1779427877013566188,1
1.186,1779427877018263374,1
1.191,1779427877023337969,1
1.197,1779427877028852678,1
1.201,1779427877033243912,1
1.206,1779427877038464337,1
1.211,1779427877043471266,1
1.216,1779427877048376114,1
1.221,1779427877053423000,1
1.226,1779427877058389097,1
1.231,1779427877063362485,1
1.236,1779427877068219501,1
1.241,1779427877073443717,1
1.246,1779427877078595309,1
1.251,1779427877083168831,1
1.256,1779427877088025555,1
1.261,1779427877093181814,1
1.266,1779427877098088996,1
1.271,1779427877103466041,1
1.276,1779427877108305266,1
1.281,1779427877113167823,1
1.286,1779427877118296958,1
1.291,1779427877123437176,1
1.296,1779427877128376148,1
1.301,1779427877133457159,1
1.306,1779427877138335174,1
1.311,1779427877143195106,1
1.316,1779427877148482904,1
