t_rel_s,ts_ns,value
0.064,1779427875896130153,10
0.080,1779427875912039628,10
0.096,1779427875927974478,10
0.112,1779427875943824747,10
0.128,1779427875960228294,10
0.144,1779427875976546094,10
0.159,1779427875991593422,10
0.175,1779427876007592729,10
0.191,1779427876023594953,10
0.207,1779427876039626342,10
0.223,1779427876055417112,10
0.239,1779427876071349920,10
0.255,1779427876087403476,10
0.271,1779427876103329868,10
0.287,1779427876119428339,10
0.303,1779427876135490644,10
0.319,1779427876151291622,10
0.335,1779427876167178348,10
0.365,1779427876197253755,10
0.381,1779427876213551139,10
0.411,1779427876243182931,10
0.427,1779427876259050407,10
0.443,1779427876274998965,10
0.459,1779427876291009938,10
0.475,1779427876306945955,10
0.491,1779427876322886055,10
0.507,1779427876339043442,10
0.522,1779427876354635299,10
0.538,1779427876370581232,10
0.554,1779427876386523374,10
0.570,1779427876402637886,10
0.586,1779427876418641860,10
0.602,1779427876434570876,10
0.633,1779427876465273644,10
0.663,1779427876495029683,10
0.679,1779427876510984075,10
0.695,1779427876527065630,10
0.711,1779427876543000771,10
0.727,1779427876559183824,10
0.742,1779427876574747391,10
0.759,1779427876590816988,10
0.774,1779427876606666964,10
0.790,1779427876622621064,10
0.807,1779427876638821325,10
0.822,1779427876654738675,10
0.838,1779427876670332866,10
0.854,1779427876686267133,10
0.870,1779427876702610140,10
0.886,1779427876718226414,10
0.902,1779427876734232720,10
0.918,1779427876750286276,10
0.934,1779427876765911675,10
0.979,1779427876811074951,10
0.995,1779427876826973926,10
1.025,1779427876857317077,10
1.041,1779427876873255719,10
1.057,1779427876889074488,10
1.073,1779427876905012838,10
1.089,1779427876921017395,10
1.105,1779427876937021368,10
1.121,1779427876952935219,10
1.136,1779427876968709072,10
1.152,1779427876984711004,10
1.170,1779427877002066155,10
1.184,1779427877016359417,10
1.200,1779427877032464013,10
1.216,1779427877048506778,10
1.232,1779427877064311255,10
1.248,1779427877080350811,10
1.264,1779427877096088207,10
1.280,1779427877112114639,10
1.310,1779427877142237295,10
1.326,1779427877158065980,10
1.342,1779427877174025621,10
1.358,1779427877189945597,10
1.374,1779427877206079942,10
1.389,1779427877221754048,10
1.406,1779427877238241302,10
1.421,1779427877253497167,10
1.437,1779427877269727177,10
1.454,1779427877285786274,10
1.469,1779427877301392423,10
1.485,1779427877317355564,10
1.501,1779427877333310539,10
1.517,1779427877349309846,10
1.533,1779427877365125407,10
1.549,1779427877381147463,10
1.565,1779427877397157853,10
1.581,1779427877413183701,10
1.626,1779427877457970152,10
1.642,1779427877474130164,10
1.672,1779427877503847704,10
1.688,1779427877520081214,10
1.704,1779427877535896483,10
1.720,1779427877551890831,10
1.736,1779427877567845223,10
1.751,1779427877583672742,10
1.768,1779427877599893127,10
1.784,1779427877615772561,10
1.799,1779427877631714411,10
1.815,1779427877647750467,10
1.831,1779427877663241702,10
1.847,1779427877679419505,10
1.863,1779427877695319939,10
1.879,1779427877711377286,10
1.925,1779427877757088008,10
1.955,1779427877787172748,10
1.971,1779427877803128306,10
1.987,1779427877818988783,10
2.003,1779427877835016089,10
2.018,1779427877850745319,10
2.035,1779427877866777208,10
2.051,1779427877882811223,10
2.066,1779427877898604326,10
2.082,1779427877914550842,10
2.098,1779427877930528274,10
2.114,1779427877946626746,10
2.130,1779427877962393891,10
2.146,1779427877978196911,10
2.162,1779427877994202926,10
2.178,1779427878010316563,10
2.209,1779427878041054914,10
2.239,1779427878071120404,10
2.255,1779427878087202834,10
2.271,1779427878102980771,10
2.286,1779427878118727500,10
2.303,1779427878134973760,10
2.319,1779427878151023815,10
2.335,1779427878166778211,10
2.350,1779427878182555565,10
2.366,1779427878198558371,10
2.382,1779427878214527929,10
2.398,1779427878230499236,10
2.414,1779427878246456544,10
2.430,1779427878262309146,10
2.446,1779427878278384576,10
2.462,1779427878294189346,10
2.478,1779427878309989157,10
2.494,1779427878326232292,10
2.510,1779427878342106185,10
2.526,1779427878357890538,10
2.542,1779427878373895386,10
2.558,1779427878389845986,10
2.574,1779427878405800669,10
2.604,1779427878436178236,10
2.620,1779427878452184251,10
2.650,1779427878482235742,10
2.666,1779427878497993846,10
2.682,1779427878513918196,10
2.698,1779427878529954835,10
2.714,1779427878545765729,10
2.730,1779427878561866242,10
2.746,1779427878577830258,10
2.761,1779427878593651361,10
2.777,1779427878609552378,10
2.793,1779427878625530394,10
2.809,1779427878641322039,10
2.825,1779427878657166474,10
2.841,1779427878673272237,10
2.887,1779427878719118581,10
2.917,1779427878749023658,10
2.933,1779427878764934300,10
2.948,1779427878780726529,10
2.965,1779427878796894998,10
2.980,1779427878812604978,10
2.996,1779427878828664659,10
3.012,1779427878844436179,10
3.028,1779427878860631482,10
3.044,1779427878876685454,10
3.060,1779427878892541181,10
3.076,1779427878908293451,10
3.092,1779427878924506253,10
3.108,1779427878940176859,10
3.124,1779427878956110251,10
3.140,1779427878972122391,10
3.156,1779427878988011742,10
3.172,1779427879004098463,10
3.188,1779427879020183310,10
3.204,1779427879035934872,10
3.234,1779427879066195108,10
3.249,1779427879081744050,10
3.266,1779427879097988352,10
3.281,1779427879113729831,10
3.297,1779427879129587099,10
3.313,1779427879145732820,10
3.329,1779427879161607879,10
3.345,1779427879177342942,10
3.361,1779427879193572660,10
3.377,1779427879209514219,10
3.393,1779427879225284864,10
3.409,1779427879241695703,10
3.425,1779427879257714260,10
3.441,1779427879273053248,10
3.457,1779427879289087846,10
3.473,1779427879305619432,10
3.489,1779427879320971754,10
3.505,1779427879336884729,10
3.521,1779427879353004200,10
3.537,1779427879369054839,10
3.552,1779427879384576698,10
3.568,1779427879400645420,10
3.599,1779427879430856741,10
3.615,1779427879446882297,10
3.645,1779427879476975495,10
3.661,1779427879493115965,10
3.677,1779427879508820404,10
3.693,1779427879524787045,10
3.709,1779427879540864808,10
3.725,1779427879556937030,10
3.740,1779427879572676176,10
3.756,1779427879588484154,10
3.772,1779427879604502127,10
3.788,1779427879620538766,10
3.804,1779427879636279079,10
3.820,1779427879652285677,10
3.836,1779427879668171528,10
3.882,1779427879713927166,10
3.912,1779427879743997906,10
3.928,1779427879760054379,10
3.943,1779427879775731109,10
3.959,1779427879791666543,10
3.976,1779427879807775514,10
3.991,1779427879823744196,10
4.007,1779427879839582507,10
4.023,1779427879855731435,10
4.039,1779427879871400875,10
4.055,1779427879887545136,10
4.071,1779427879903405905,10
4.087,1779427879919377796,10
4.103,1779427879935392560,10
4.119,1779427879951677111,10
4.135,1779427879967185054,10
4.166,1779427879997985986,10
4.196,1779427880027891063,10
4.212,1779427880043920703,10
4.228,1779427880059840387,10
4.244,1779427880075800028,10
4.259,1779427880091591381,10
4.275,1779427880107483357,10
4.292,1779427880123806990,10
4.308,1779427880139795213,10
4.323,1779427880155674648,10
4.339,1779427880171393961,10
4.355,1779427880187369352,10
4.371,1779427880203438949,10
4.387,1779427880219522254,10
4.403,1779427880235206984,10
4.419,1779427880251055128,10
4.435,1779427880267060268,10
4.451,1779427880282996576,10
4.467,1779427880299002883,10
4.483,1779427880314784320,10
4.498,1779427880330699795,10
4.515,1779427880346832390,10
4.545,1779427880376927505,10
4.561,1779427880392872563,10
4.591,1779427880423065509,10
4.607,1779427880439009984,10
4.623,1779427880454888544,10
4.639,1779427880470896892,10
4.655,1779427880486772535,10
4.670,1779427880502575846,10
4.686,1779427880518627944,10
4.702,1779427880534668958,10
4.718,1779427880550486560,10
4.735,1779427880566817193,10
4.750,1779427880582433259,10
4.766,1779427880598151697,10
4.782,1779427880614154212,10
4.798,1779427880630107728,10
4.814,1779427880646032078,10
4.830,1779427880661975095,10
4.846,1779427880677966527,10
4.876,1779427880707840688,10
4.892,1779427880723823662,10
4.907,1779427880739748596,10
4.924,1779427880755908899,10
4.939,1779427880771659711,10
4.955,1779427880787628685,10
4.972,1779427880803826613,10
4.988,1779427880819832919,10
5.004,1779427880835912141,10
5.019,1779427880851392293,10
5.035,1779427880867409974,10
5.051,1779427880883436114,10
5.067,1779427880899347923,10
