t_rel_s,ts_ns,values
10.540,1779427886372538049,"[0.0, 0.0, 20.0, 0.0]"
10.560,1779427886392495969,"[0.0, 0.0, 20.0, 0.0]"
10.580,1779427886412656887,"[0.0, 0.0, 20.0, 0.0]"
10.600,1779427886432602850,"[-0.0, 0.0, 20.0, 0.0]"
10.620,1779427886452545020,"[-0.0, 0.0, 20.0, 0.0]"
10.640,1779427886472732188,"[-0.0, 0.0, 20.0, 0.0]"
10.660,1779427886492566443,"[0.7642558813095093, -2.047206163406372, 20.0, 0.0]"
10.680,1779427886512532239,"[0.7458986043930054, -2.037790536880493, 20.0, 0.0]"
10.700,1779427886532535659,"[0.7138729095458984, -1.9739524126052856, 20.0, 0.0]"
10.721,1779427886552909491,"[0.6510776877403259, -1.8081090450286865, 20.0, 0.0]"
10.740,1779427886572449750,"[0.06406179815530777, -1.3922427892684937, 20.0, 0.0]"
10.760,1779427886592472419,"[0.014362641610205173, -1.4178380966186523, 20.0, 0.0]"
10.780,1779427886612657254,"[0.013024614192545414, -1.2857520580291748, 20.0, 0.0]"
10.800,1779427886632453593,"[-0.2481381893157959, -0.9259334802627563, 20.0, 0.0]"
10.820,1779427886652669052,"[-0.3192741572856903, -0.9498136639595032, 20.0, 0.0]"
10.840,1779427886672480849,"[-0.344949871301651, -0.9354374408721924, 20.0, 0.0]"
10.860,1779427886692601518,"[-0.190056711435318, -0.45349013805389404, 20.0, 0.0]"
10.880,1779427886712637896,"[-0.22402961552143097, -0.45735347270965576, 20.0, 0.0]"
10.900,1779427886732684773,"[-0.2604779601097107, -0.46186187863349915, 20.0, 0.0]"
10.921,1779427886752900524,"[-0.26788267493247986, -0.47499144077301025, 20.0, 0.0]"
10.940,1779427886772518657,"[-0.0, -0.0, 20.0, 0.0]"
10.960,1779427886792529660,"[-0.0, -0.0, 20.0, 0.0]"
10.980,1779427886812496331,"[-0.0, -0.0, 20.0, 0.0]"
11.000,1779427886832423627,"[-0.0, -0.0, 20.0, 0.0]"
11.020,1779427886852516879,"[-0.0, -0.0, 20.0, 0.0]"
11.040,1779427886872512715,"[-0.0, -0.0, 20.0, 0.0]"
11.060,1779427886892579426,"[-0.3350257873535156, -1.3698136806488037, 20.0, 0.0]"
11.080,1779427886912476973,"[-0.2667854428291321, -1.2418863773345947, 20.0, 0.0]"
11.100,1779427886932578558,"[-0.22447997331619263, -1.1199629306793213, 20.0, 0.0]"
11.120,1779427886952601353,"[-0.20074433088302612, -1.001542329788208, 20.0, 0.0]"
11.140,1779427886972378442,"[-0.0, -0.0, 20.0, 0.0]"
11.160,1779427886992544902,"[0.0, -0.0, 20.0, 0.0]"
11.181,1779427887012781360,"[0.0, -0.0, 20.0, 0.0]"
11.200,1779427887032579450,"[0.0, -0.0, 20.0, 0.0]"
11.220,1779427887052457454,"[0.0, -0.0, 20.0, 0.0]"
11.240,1779427887072557998,"[0.0, -0.0, 20.0, 0.0]"
11.260,1779427887092438920,"[0.0, -0.0, 20.0, 0.0]"
11.280,1779427887112623462,"[0.0, -0.0, 20.0, 0.0]"
